light_model,heavy_model,router_ratio,disc_ratio,threshold,latency,fid
1,3,0.3,0.3,0.51,14.68,21.27
1,3,0.3,0.4,0.58,16.57,20.97
1,3,0.3,0.5,0.65,18.46,20.71
1,3,0.3,0.6,0.72,20.35,20.47
1,3,0.3,0.7,0.79,22.24,20.31
1,3,0.3,0.8,0.86,24.13,20.16
1,3,0.3,0.9,0.93,26.02,20.06
1,3,0.3,1.0,1.0,27.91,19.95
1,3,0.4,0.0,0.4,11.58,21.86
1,3,0.4,0.1,0.46,13.2,21.4
1,3,0.4,0.2,0.52,14.82,21.12
1,3,0.4,0.3,0.58,16.44,20.92
1,3,0.4,0.4,0.64,18.06,20.69
1,3,0.4,0.5,0.7,19.68,20.51
1,3,0.4,0.6,0.76,21.3,20.32
1,3,0.4,0.7,0.82,22.92,20.2
1,3,0.4,0.8,0.88,24.54,20.1
1,3,0.4,0.9,0.94,26.16,20.03
1,3,0.4,1.0,1.0,27.78,19.95
1,3,0.5,0.0,0.5,14.15,21.25
1,3,0.5,0.1,0.55,15.5,20.91
1,3,0.5,0.2,0.6,16.85,20.72
1,3,0.5,0.3,0.65,18.2,20.58
1,3,0.5,0.4,0.7,19.55,20.45
1,3,0.5,0.5,0.75,20.9,20.33
1,3,0.5,0.6,0.8,22.25,20.2
1,3,0.5,0.7,0.85,23.6,20.13
1,3,0.5,0.8,0.9,24.95,20.05
1,3,0.5,0.9,0.95,26.3,20.0
1,3,0.5,1.0,1.0,27.65,19.95
1,3,0.6,0.0,0.6,16.72,20.82
1,3,0.6,0.1,0.64,17.8,20.59
1,3,0.6,0.2,0.68,18.88,20.47
1,3,0.6,0.3,0.72,19.96,20.37
1,3,0.6,0.4,0.76,21.04,20.3
1,3,0.6,0.5,0.8,22.12,20.22
1,3,0.6,0.6,0.84,23.2,20.11
1,3,0.6,0.7,0.88,24.28,20.07
1,3,0.6,0.8,0.92,25.36,20.02
1,3,0.6,0.9,0.96,26.44,19.98
1,3,0.6,1.0,1.0,27.52,19.95
1,3,0.7,0.0,0.7,19.29,20.48
1,3,0.7,0.1,0.73,20.1,20.32
1,3,0.7,0.2,0.76,20.91,20.24
1,3,0.7,0.3,0.79,21.72,20.18
1,3,0.7,0.4,0.82,22.53,20.17
1,3,0.7,0.5,0.85,23.34,20.11
1,3,0.7,0.6,0.88,24.15,20.04
1,3,0.7,0.7,0.91,24.96,20.03
1,3,0.7,0.8,0.94,25.77,20.0
1,3,0.7,0.9,0.97,26.58,19.96
1,3,0.7,1.0,1.0,27.39,19.95
1,3,0.8,0.0,0.8,21.86,20.2
1,3,0.8,0.1,0.82,22.4,20.13
1,3,0.8,0.2,0.84,22.94,20.09
1,3,0.8,0.3,0.86,23.48,20.05
